Include On Export,Export Containing Keywords,Export Synonyms,Person Type Keyword,
Y,Y,Y,N,		HK_N4A
Y,Y,Y,N,		HK_N4C
Y,Y,Y,N,		HK_N4X
Y,Y,Y,N,		HK_N27
Y,Y,Y,N,		HK_N31
Y,Y,Y,N,		HK_N40
Y,Y,Y,N,		HK_N51
Y,Y,Y,N,		HK_N51S
Y,Y,Y,N,	GMBKN
Y,Y,Y,N,		KN_2
Y,Y,Y,N,		KN_2A
Y,Y,Y,N,		KN_3
Y,Y,Y,N,		KN_5M
Y,Y,Y,N,		KN_8
Y,Y,Y,N,		KN_8M
Y,Y,Y,N,		KN_8P
Y,Y,Y,N,		KN_8S
Y,Y,Y,N,		KN_9M
Y,Y,Y,N,		KN_12
Y,Y,Y,N,		KN_12A
Y,Y,Y,N,		KN_12B
Y,Y,Y,N,		KN_12S
Y,Y,Y,N,		KN_13
Y,Y,Y,N,		KN_13A
Y,Y,Y,N,		KN_13B
Y,Y,Y,N,		KN_15
Y,Y,Y,N,		KN_16
Y,Y,Y,N,		KN_16A
Y,Y,Y,N,		KN_16B
Y,Y,Y,N,		KN_16S
Y,Y,Y,N,		KN_17M
Y,Y,Y,N,		KN_18M
Y,Y,Y,N,		KN_19
Y,Y,Y,N,		KN_19A
Y,Y,Y,N,		KN_19M
Y,Y,Y,N,		KN_19S
Y,Y,Y,N,		KN_20
Y,Y,Y,N,		KN_20M
Y,Y,Y,N,		KN_22A
Y,Y,Y,N,		KN_22M
Y,Y,Y,N,		KN_23
Y,Y,Y,N,		KN_23B
Y,Y,Y,N,		KN_23C
Y,Y,Y,N,		KN_23M
Y,Y,Y,N,		KN_23S
Y,Y,Y,N,		KN_24
Y,Y,Y,N,		KN_24M
Y,Y,Y,N,		KN_24S
Y,Y,Y,N,		KN_25A
Y,Y,Y,N,		KN_25B
Y,Y,Y,N,		KN_25M
Y,Y,Y,N,		KN_25MS
Y,Y,Y,N,		KN_26
Y,Y,Y,N,		KN_26A
Y,Y,Y,N,		KN_26D
Y,Y,Y,N,		KN_26H
Y,Y,Y,N,		KN_26W
Y,Y,Y,N,		KN_26X
Y,Y,Y,N,		KN_27M
Y,Y,Y,N,		KN_27MS
Y,Y,Y,N,		KN_28M
Y,Y,Y,N,		KN_28MS
Y,Y,Y,N,		KN_29A
Y,Y,Y,N,		KN_29B
Y,Y,Y,N,		KN_30A
Y,Y,Y,N,		KN_30B
Y,Y,Y,N,		KN_32M
Y,Y,Y,N,		KN_33A
Y,Y,Y,N,		KN_33M
Y,Y,Y,N,		KN_34M
Y,Y,Y,N,		KN_34S
Y,Y,Y,N,		KN_35
Y,Y,Y,N,		KN_36A
Y,Y,Y,N,		KN_37A
Y,Y,Y,N,		KN_37B
Y,Y,Y,N,		KN_37M
Y,Y,Y,N,		KN_38M
Y,Y,Y,N,		KN_39M
Y,Y,Y,N,		KN_41A
Y,Y,Y,N,		KN_41M
Y,Y,Y,N,		KN_42
Y,Y,Y,N,		KN_43M
Y,Y,Y,N,		KN_44
Y,Y,Y,N,		KN_44A
Y,Y,Y,N,		KN_44M
Y,Y,Y,N,		KN_44S
Y,Y,Y,N,		KN_45B
Y,Y,Y,N,		KN_45M
Y,Y,Y,N,		KN_46
Y,Y,Y,N,		KN_47
Y,Y,Y,N,		KN_48
Y,Y,Y,N,		KN_49
Y,Y,Y,N,		KN_49M
Y,Y,Y,N,		KN_50
Y,Y,Y,N,		KN_51M
Y,Y,Y,N,		KN_52
Y,Y,Y,N,		KN_53M
Y,Y,Y,N,		KN_54
Y,Y,Y,N,		KN_54M
Y,Y,Y,N,		KN_54S
Y,Y,Y,N,		KN_56
Y,Y,Y,N,		KN_57M
Y,Y,Y,N,		KN_59
Y,Y,Y,N,		KN_59M
Y,Y,Y,N,		KN_60
Y,Y,Y,N,		KN_62S
Y,Y,Y,N,		KN_63
Y,Y,Y,N,		KN_65
Y,Y,Y,N,		KN_66S
Y,Y,Y,N,		KN_68
Y,Y,Y,N,		KN_69
Y,Y,Y,N,		KN_69A
Y,Y,Y,N,		KN_70
Y,Y,Y,N,		KN_70A
Y,Y,Y,N,		KN_71A
Y,Y,Y,N,		KN_71B
Y,Y,Y,N,		KN_72
Y,Y,Y,N,		KN_73
Y,Y,Y,N,		KN_74
Y,Y,Y,N,		KN_74D
Y,Y,Y,N,		KN_74S
Y,Y,Y,N,		KN_75
Y,Y,Y,N,		KN_75A
Y,Y,Y,N,		KN_75B
Y,Y,Y,N,		KN_76A
Y,Y,Y,N,		KN_76B
Y,Y,Y,N,		KN_77M
Y,Y,Y,N,		KN_78
Y,Y,Y,N,		KN_78A
Y,Y,Y,N,		KN_79K
Y,Y,Y,N,		KN_79M
Y,Y,Y,N,		KN_79S
Y,Y,Y,N,		KN_79W
Y,Y,Y,N,		KN_80M
Y,Y,Y,N,		KN_81K
Y,Y,Y,N,		KN_82
Y,Y,Y,N,		KN_83A
Y,Y,Y,N,		KN_83M
Y,Y,Y,N,		KN_86
Y,Y,Y,N,		KN_87
Y,Y,Y,N,		KN_88
Y,Y,Y,N,		KN_89A
Y,Y,Y,N,		KN_89B
Y,Y,Y,N,		KN_89C
Y,Y,Y,N,		KN_90A
Y,Y,Y,N,		KN_90B
Y,Y,Y,N,	GMBNT
Y,Y,Y,N,		NT_1
Y,Y,Y,N,		NT_1A
Y,Y,Y,N,		NT_1S
Y,Y,Y,N,		NT_2
Y,Y,Y,N,		NT_3
Y,Y,Y,N,		NT_3A
Y,Y,Y,N,		NT_4
Y,Y,Y,N,		NT_4A
Y,Y,Y,N,		NT_7
Y,Y,Y,N,		NT_9
Y,Y,Y,N,		NT_9A
Y,Y,Y,N,		NT_10M
Y,Y,Y,N,		NT_11
Y,Y,Y,N,		NT_11B
Y,Y,Y,N,		NT_11M
Y,Y,Y,N,		NT_11S
Y,Y,Y,N,		NT_12
Y,Y,Y,N,		NT_12A
Y,Y,Y,N,		NT_13
Y,Y,Y,N,		NT_15
Y,Y,Y,N,		NT_15A
Y,Y,Y,N,		NT_15M
Y,Y,Y,N,		NT_15P
Y,Y,Y,N,		NT_16
Y,Y,Y,N,		NT_17
Y,Y,Y,N,		NT_17A
Y,Y,Y,N,		NT_17M
Y,Y,Y,N,		NT_19S
Y,Y,Y,N,		NT_20A
Y,Y,Y,N,		NT_20B
Y,Y,Y,N,		NT_20C
Y,Y,Y,N,		NT_20E
Y,Y,Y,N,		NT_20K
Y,Y,Y,N,		NT_20M
Y,Y,Y,N,		NT_20P
Y,Y,Y,N,		NT_20R
Y,Y,Y,N,		NT_20S
Y,Y,Y,N,		NT_20T
Y,Y,Y,N,		NT_20X
Y,Y,Y,N,		NT_21A
Y,Y,Y,N,		NT_21K
Y,Y,Y,N,		NT_22K
Y,Y,Y,N,		NT_23K
Y,Y,Y,N,		NT_23S
Y,Y,Y,N,		NT_25A
Y,Y,Y,N,		NT_25B
Y,Y,Y,N,		NT_25K
Y,Y,Y,N,		NT_26
Y,Y,Y,N,		NT_26A
Y,Y,Y,N,		NT_27
Y,Y,Y,N,		NT_27A
Y,Y,Y,N,		NT_27B
Y,Y,Y,N,		NT_28K
Y,Y,Y,N,		NT_28S
Y,Y,Y,N,		NT_29
Y,Y,Y,N,		NT_31
Y,Y,Y,N,		NT_31A
Y,Y,Y,N,		NT_32
Y,Y,Y,N,		NT_33
Y,Y,Y,N,		NT_34
Y,Y,Y,N,		NT_34A
Y,Y,Y,N,		NT_35
Y,Y,Y,N,		NT_36
Y,Y,Y,N,		NT_37
Y,Y,Y,N,		NT_38
Y,Y,Y,N,		NT_39
Y,Y,Y,N,		NT_39A
Y,Y,Y,N,		NT_40
Y,Y,Y,N,		NT_41
Y,Y,Y,N,		NT_42
Y,Y,Y,N,		NT_43
Y,Y,Y,N,		NT_43A
Y,Y,Y,N,		NT_43B
Y,Y,Y,N,		NT_43C
Y,Y,Y,N,		NT_43S
Y,Y,Y,N,		NT_44
Y,Y,Y,N,		NT_44A
Y,Y,Y,N,		NT_44A1
Y,Y,Y,N,		NT_44B
Y,Y,Y,N,		NT_44B1
Y,Y,Y,N,		NT_45
Y,Y,Y,N,		NT_46
Y,Y,Y,N,		NT_46A
Y,Y,Y,N,		NT_46M
Y,Y,Y,N,		NT_47M
Y,Y,Y,N,		NT_47S
Y,Y,Y,N,		NT_48S
Y,Y,Y,N,		NT_49S
Y,Y,Y,N,		NT_50A
Y,Y,Y,N,		NT_50K
Y,Y,Y,N,		NT_51B
Y,Y,Y,N,		NT_51K
Y,Y,Y,N,		NT_52A
Y,Y,Y,N,		NT_52B
Y,Y,Y,N,		NT_52K
Y,Y,Y,N,		NT_54A
Y,Y,Y,N,		NT_54K
Y,Y,Y,N,		NT_55K
Y,Y,Y,N,		NT_56A
Y,Y,Y,N,		NT_56B
Y,Y,Y,N,		NT_56C
Y,Y,Y,N,		NT_56K
Y,Y,Y,N,		NT_57K
Y,Y,Y,N,		NT_58K
Y,Y,Y,N,		NT_58S
Y,Y,Y,N,		NT_59K
Y,Y,Y,N,		NT_60K
Y,Y,Y,N,		NT_60P
Y,Y,Y,N,		NT_61M
Y,Y,Y,N,		NT_61S
Y,Y,Y,N,		NT_62K
Y,Y,Y,N,		NT_63A
Y,Y,Y,N,		NT_63B
Y,Y,Y,N,		NT_63K
Y,Y,Y,N,		NT_63S
Y,Y,Y,N,		NT_64A
Y,Y,Y,N,		NT_64K
Y,Y,Y,N,		NT_65A
Y,Y,Y,N,		NT_65K
Y,Y,Y,N,		NT_65S
Y,Y,Y,N,		NT_66K
Y,Y,Y,N,		NT_67A
Y,Y,Y,N,		NT_67K
Y,Y,Y,N,		NT_68K
Y,Y,Y,N,		NT_68S
Y,Y,Y,N,		NT_69K
Y,Y,Y,N,		NT_71
Y,Y,Y,N,		NT_71A
Y,Y,Y,N,		NT_72
Y,Y,Y,N,		NT_73
Y,Y,Y,N,		NT_74
Y,Y,Y,N,		NT_74A
Y,Y,Y,N,		NT_75
Y,Y,Y,N,		NT_76
Y,Y,Y,N,		NT_77
Y,Y,Y,N,		NT_77A
Y,Y,Y,N,		NT_77B
Y,Y,Y,N,		NT_77P
Y,Y,Y,N,		NT_78
Y,Y,Y,N,		NT_78A
Y,Y,Y,N,		NT_79S
Y,Y,Y,N,		NT_80
Y,Y,Y,N,		NT_81
Y,Y,Y,N,		NT_81M
Y,Y,Y,N,		NT_82
Y,Y,Y,N,		NT_82M
Y,Y,Y,N,		NT_83A
Y,Y,Y,N,		NT_84
Y,Y,Y,N,		NT_85
Y,Y,Y,N,		NT_86
Y,Y,Y,N,		NT_86A
Y,Y,Y,N,		NT_86M
Y,Y,Y,N,		NT_87
Y,Y,Y,N,		NT_87A
Y,Y,Y,N,		NT_87K
Y,Y,Y,N,		NT_87M
Y,Y,Y,N,		NT_88
Y,Y,Y,N,		NT_88A
Y,Y,Y,N,		NT_88B
Y,Y,Y,N,		NT_88C
Y,Y,Y,N,		NT_88D
Y,Y,Y,N,		NT_88E
Y,Y,Y,N,		NT_88F
Y,Y,Y,N,		NT_88G
Y,Y,Y,N,		NT_88M
Y,Y,Y,N,		NT_89
Y,Y,Y,N,		NT_89A
Y,Y,Y,N,		NT_89B
Y,Y,Y,N,		NT_89M
Y,Y,Y,N,		NT_89P
Y,Y,Y,N,		NT_89S
Y,Y,Y,N,		NT_90A
Y,Y,Y,N,		NT_90M
Y,Y,Y,N,		NT_90P
Y,Y,Y,N,		NT_91
Y,Y,Y,N,		NT_91A
Y,Y,Y,N,		NT_92M
Y,Y,Y,N,		NT_93
Y,Y,Y,N,		NT_93A
Y,Y,Y,N,		NT_94
Y,Y,Y,N,		NT_94A
Y,Y,Y,N,		NT_94S
Y,Y,Y,N,		NT_95
Y,Y,Y,N,		NT_95A
Y,Y,Y,N,		NT_95K
Y,Y,Y,N,		NT_95M
Y,Y,Y,N,		NT_96
Y,Y,Y,N,		NT_96A
Y,Y,Y,N,		NT_96B
Y,Y,Y,N,		NT_96C
Y,Y,Y,N,		NT_96M
Y,Y,Y,N,		NT_96P
Y,Y,Y,N,		NT_96S
Y,Y,Y,N,		NT_97A
Y,Y,Y,N,		NT_98
Y,Y,Y,N,		NT_99
Y,Y,Y,N,		NT_101
Y,Y,Y,N,		NT_101M
Y,Y,Y,N,		NT_102
Y,Y,Y,N,		NT_102B
Y,Y,Y,N,		NT_102S
Y,Y,Y,N,		NT_103
Y,Y,Y,N,		NT_103M
Y,Y,Y,N,		NT_104
Y,Y,Y,N,		NT_105
Y,Y,Y,N,		NT_105S
Y,Y,Y,N,		NT_106
Y,Y,Y,N,		NT_107
Y,Y,Y,N,		NT_108A
